"","x"
"lsrK",59
"lsrR",52
"lsrA",2
"lsrC",11
"lsrD",3
"lsrB",26
"lsrF",21
"lsrG",13
"tam",58
"yneE",84
"uxaB",15
"yneF",46
"yneG",64
"glsB",107
"sad",155
"yneJ",41
"yneK",9
"ydeA",192
"marC",74
"marR",27
"marA",47
"marB",44
"eamA",222
"ydeE",71
"yneM",267
"mgrR",45
"dgcZ",111
"ydeI",8
"ydeJ",34
"dcp",741
"ydfG",653
"rspR",216
"ydfZ",24
"ydfI",11
"ydfJ",338
"ydfK",0
"pinQ",0
"tfaQ",0
"stfQ",0
"nohQ",0
"ynfO",0
"ydfO",0
"gnsB",0
"ynfN",0
"cspI",0
"rzpQ",0
"rzoQ",0
"rrrQ",0
"ydfR",0
"essQ",0
"cspB",0
"cspF",0
"quuQ",0
"ydfU",0
"rem",0
"hokD",0
"relE",0
"relB",0
"ydfV",0
"flxA",0
"intK",0
"ydfX",0
"dicC",0
"dicA",0
"ydfA",0
"ydfB",0
"ydfC",0
"dicF",0
"dicB",0
"ydfD",0
"ydfE",0
"intQ",0
"rspB",10
"rspA",9
"ynfA",10
"ynfB",319
"speG",373
"ynfC",109
"ynfD",39
"ynfE",51
"ynfF",25
"ynfG",3
"ynfH",19
"dmsD",145
"clcB",21
"ynfK",27
"mlc",189
"ynfL",23
"ynfM",106
"asr",58
"ydgU",2
"ydgD",123
"mdtI",18
"mdtJ",24
"tqsA",156
"pntB",9349
"pntA",9658
"ydgH",984
"ydgI",35
"folM",128
"ydgC",63
"rstA",673
"rstB",749
"tus",110
"fumC",203
"fumA",238
"manA",398
"ydgA",1132
"uidC",1
"uidB",4
"uidA",16
"uidR",93
"hdhA",194
"malI",56
"malX",39
"malY",152
"add",179
"ydgJ",497
"blr",17
"cnu",25
"ydgK",112
"rsxA",124
"rsxB",157
"rsxC",418
"rsxD",98
"rsxG",58
"rsxE",67
"nth",79
"dtpA",64
"gstA",339
"pdxY",318
"tyrS",1524
"pdxH",298
"mliC",33
"anmK",212
"slyB",2903
